"Date","Team","Opponent","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","Def2ptRebounds","Def2ptReboundPct","Def3ptRebounds","Def3ptReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","Off2ptRebounds","Off2ptReboundPct","Off3ptRebounds","Off3ptReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct"
"2015-04-15","GSW","DEN","19:20",4,2,0,0,2,0.16666666666666666,0,0,0.10526315789473684,2,0,0,1,0.1,1,0.14285714285714285,0.11764705882352941,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,1
"2015-04-13","GSW","MEM","29:17",4,4,0,0,3,0.08823529411764706,1,0.2,0.10256410256410256,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.09090909090909091,0.3333333333333333,0,0,0,0,0,0
"2015-04-11","GSW","MIN","35:26",4,4,0,0,2,0.08,2,0.2222222222222222,0.11764705882352941,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0.25,0,0,0,0,0,0
"2015-04-09","GSW","POR","35:13",2,1,0,0,0,0,1,0.07142857142857142,0.02564102564102564,1,0,0,1,0.07692307692307693,0,0,0.041666666666666664,0,0,0,0.09090909090909091,0,0.16666666666666666,0,0,0,0
"2015-04-07","GSW","NOP","34:46",6,5,0,0,5,0.1724137931034483,0,0,0.15151515151515152,1,0,0,0,0,1,0.14285714285714285,0.029411764705882353,0.3333333333333333,0,0.09090909090909091,0,0,0,0,0,0,0.3333333333333333
"2015-04-05","GSW","SAS","30:03",4,4,0,0,3,0.2,1,0.25,0.21052631578947367,0,0,0,0,0,0,0,0,0.5,0.2222222222222222,0,0.3333333333333333,0,0,0,0,0,0
"2015-04-04","GSW","DAL","27:28",4,2,1,0.25,0,0,1,0.16666666666666666,0.034482758620689655,2,0,0,0,0,2,0.15384615384615385,0.0625,0,0,0,0.25,0,0,0,0,0.2,0
"2015-04-02","GSW","PHX","33:32",8,7,0,0,5,0.20833333333333334,2,0.4,0.2413793103448276,1,0,0,0,0,1,0.07692307692307693,0.02702702702702703,0,0.125,0.5714285714285714,0.5,0,0,0,0,0.09090909090909091,0
"2015-03-31","GSW","LAC","36:11",1,0,0,0,0,0,0,0,0,1,0,0,1,0.041666666666666664,0,0,0.03333333333333333,0,0,0,0,0,0.09090909090909091,0,0,0,0
"2015-03-28","GSW","MIL","30:24",4,4,0,0,2,0.08,2,0.25,0.12121212121212122,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.5,0,0,0,0,0
"2015-03-27","GSW","MEM","34:14",3,2,0,0,2,0.08695652173913043,0,0,0.07407407407407407,1,0,0,1,0.05263157894736842,0,0,0.03333333333333333,0,0.1,0.1,0,0,0,0.2,0,0,0
"2015-03-24","GSW","POR","35:26",2,2,0,0,1,0.037037037037037035,1,0.09090909090909091,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.125,0,0,0,0,0,0
"2015-03-23","GSW","WAS","28:16",5,4,0,0,3,0.10714285714285714,1,0.25,0.125,1,0,0,0,0,1,0.07142857142857142,0.03125,0.16666666666666666,0,0.14285714285714285,0.25,0,0,0,0,0.09090909090909091,0
"2015-03-21","GSW","UTA","32:14",3,2,0,0,1,0.05,1,0.1111111111111111,0.06896551724137931,1,0,0,1,0.05263157894736842,0,0,0.04,0,0.09090909090909091,0,0.1111111111111111,0,0,0.09090909090909091,0,0,0
"2015-03-20","GSW","NOP","27:02",2,2,0,0,1,0.047619047619047616,1,0.2,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0.1,0.25,0,0,0,0,0,0
