"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtsMade","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2016-12-05","GSW","IND","29:10",64,13,2,3,0.6666666666666666,2,7,0.2857142857142857,0.3333333333333333,3,0,4,6,0,0,0,1,0.7,0.5649222222222222,0.5,0.5416666666666666,0,0,0,0,0,15.584415584415584
"2016-12-07","GSW","LAC","33:17",69,19,7,8,0.875,0,8,0,0,5,10,4,0,0,0.7142857142857143,0.7142857142857143,0,0.5,0.5592666666666666,0.4375,0.5277777777777778,0,0,0,0,0,25.31645569620253
"2016-12-08","GSW","UTA","35:34",73,26,4,7,0.5714285714285714,3,9,0.3333333333333333,0.3333333333333333,9,2,6,9,0,0.25,0.25,1,0.5625,0.530234375,0.53125,0.6842105263157895,0,0,0,0,0,26.82926829268293
"2016-12-10","GSW","MEM","30:35",64,17,1,3,0.3333333333333333,3,11,0.2727272727272727,0.3,6,0,2,6,3,0,0,0.6666666666666666,0.7857142857142857,0.5371384615384616,0.39285714285714285,0.5,0,1,0.3333333333333333,0,0,28.37837837837838
"2016-12-11","GSW","MIN","31:35",64,22,4,8,0.5,2,5,0.4,0.4,8,4,4,3,3,0.5,0.5,0.5,0.38461538461538464,0.5219192307692307,0.5384615384615384,0.6470588235294118,0,1,0.125,0,0,24.28571428571429
"2016-12-13","GSW","NOP","34:07",72,30,6,14,0.42857142857142855,5,9,0.5555555555555556,0.625,3,6,6,9,6,0.5,0.6,0.6,0.391304347826087,0.49514090909090913,0.5869565217391305,0.6,2,1,0.07142857142857142,0,0,32.098765432098766
"2016-12-15","GSW","NYK","33:50",70,8,1,6,0.16666666666666666,2,8,0.25,0.25,0,2,0,6,0,1,1,1,0.5714285714285714,0.5081285714285715,0.2857142857142857,0.2857142857142857,0,0,0,0,0,20.73170731707317
"2016-12-17","GSW","POR","27:14",57,19,1,3,0.3333333333333333,5,8,0.625,0.625,2,2,0,15,0,1,1,1,0.7272727272727273,0.5106727272727273,0.7727272727272727,0.7916666666666666,0,0,0,0,0,21.874999999999996
"2016-12-20","GSW","UTA","30:13",63,25,4,9,0.4444444444444444,4,9,0.4444444444444444,0.4444444444444444,5,2,6,3,9,0.25,0.25,0.25,0.5,0.5646722222222222,0.5555555555555556,0.625,0,0,0,0,0,28.571428571428573
"2016-12-22","GSW","BKN","32:58",75,15,3,6,0.5,3,13,0.23076923076923078,0.2727272727272727,0,2,4,6,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6842105263157895,0.5317794117647059,0.39473684210526316,0.39473684210526316,0,2,0.3333333333333333,0,0,23.863636363636363
"2016-12-23","GSW","DET","35:00",78,25,2,6,0.3333333333333333,5,10,0.5,0.5,6,2,2,9,6,0.5,0.5,0.6,0.625,0.540896875,0.59375,0.6578947368421053,0,0,0,0,0,28.048780487804876
"2016-12-25","GSW","CLE","37:20",80,15,2,4,0.5,2,7,0.2857142857142857,0.2857142857142857,5,4,0,6,0,1,1,1,0.6363636363636364,0.5169909090909091,0.45454545454545453,0.5357142857142857,0,0,0,0,0,19.540229885057467
"2016-12-28","GSW","TOR","36:19",75,28,6,12,0.5,3,6,0.5,0.5,7,4,8,6,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5173694444444444,0.5833333333333334,0.6666666666666666,0,2,0.16666666666666666,0,0,27.058823529411764
